ym,ret,src,index,sma10,above_sma,sma_rising,ret12,vol6,baa_aaa,baa_aaa_chg6,cpi_yoy,cpi_chg6,curve_inverted,hyoas,hyoas_chg6,vix,breadth,policy,s_TREND,s_MOM,s_CREDIT,s_POLICY,s_CURVE,s_INFL,s_VOL,score,zone
1926-08,0.0289,FF_market_TR,102.88999999999999,,,False,,,1.09,-0.15999999999999992,,,,,,,,,,,50,,,,,,NA
1926-09,0.0059,FF_market_TR,103.497051,,,False,,,1.0700000000000005,-0.18999999999999928,,,,,,,,,,,50,,,,,,NA
1926-10,-0.0292,FF_market_TR,100.4749371108,,,False,,,1.0999999999999996,-0.14000000000000057,,,,,,,,,,,50,,,,,,NA
1926-11,0.0283999999999999,FF_market_TR,103.3284253247467,,,False,,,1.09,-0.060000000000000275,,,,,,,,,,,50,,,,,,NA
1926-12,0.029,FF_market_TR,106.32494965916435,,,False,,,1.0,-0.08000000000000007,,,,,,,,,,,50,,,,,,NA
1927-01,0.0019,FF_market_TR,106.52696706351676,,,False,,8.00773875697752,0.9500000000000002,-0.1299999999999999,,,,,,,,,,,50,,,,100.0,,NA
1927-02,0.0443999999999999,FF_market_TR,111.2567644011369,,,False,,9.076501528672805,0.92,-0.17000000000000004,,,,,,,,,,,100,,,,100.0,,NA
1927-03,0.0043,FF_market_TR,111.73516848806177,,,False,,9.110986774219343,0.92,-0.15000000000000047,,,,,,,,,,,100,,,,100.0,,NA
1927-04,0.0070999999999999,FF_market_TR,112.52848818432699,,,False,,5.966764617445531,0.9000000000000004,-0.1999999999999993,,,,,,,,,,,100,,,,100.0,,NA
1927-05,0.0574,FF_market_TR,118.98762340610736,107.75503746378608,0.1042418638302296,False,,8.077863578942143,0.9299999999999996,-0.16000000000000048,,,,,,,,,50.0,,100,,,,100.0,,NA
1927-06,-0.0208,FF_market_TR,116.51268083926031,109.1173055477121,0.0677745409348891,True,,10.145960772642475,0.9699999999999998,-0.03000000000000025,,,,,,,,,100.0,,50,,,,100.0,,NA
1927-07,0.0756,FF_market_TR,125.3210395107084,111.29970439878295,0.1259781882410711,True,,12.755253035514425,0.9500000000000002,0.0,,,,,,,,,100.0,,50,,,,100.0,,NA
1927-08,0.0225,FF_market_TR,128.14076289969933,114.06628697767289,0.12338856900620732,True,0.24541513169111995,12.451867329842543,0.9200000000000008,7.771561172376096e-16,,,,,,,,,100.0,100.0,100,,,,100.0,100.0,EASY
1927-09,0.0496999999999999,FF_market_TR,134.50935881581435,117.18438032677966,0.1478437522195566,True,0.29964436200036615,12.352296952389057,0.8799999999999999,-0.04000000000000015,,,,,,,,,100.0,100.0,100,,,,100.0,100.0,EASY
1927-10,-0.0406,FF_market_TR,129.0482788478923,119.45671324565244,0.08029323209751826,True,0.28438277802137546,15.965753348965398,0.8700000000000001,-0.03000000000000025,,,,,,,,,100.0,100.0,100,,,,50.0,96.15384615384616,EASY
1927-11,0.0679,FF_market_TR,137.81065698166418,122.58508223746719,0.12420414022892756,True,0.33371486644207216,16.551757610598337,0.8599999999999994,-0.07000000000000017,,,,,,,,,100.0,100.0,100,,,,50.0,96.15384615384616,EASY
