date,indicator,warn_type
2008-05-12,obv_top_divergence,TOP
2008-06-05,obv_top_divergence,TOP
2009-05-29,obv_top_divergence,TOP
2009-10-14,obv_top_divergence,TOP
2009-11-16,obv_top_divergence,TOP
2010-01-19,obv_top_divergence,TOP
2010-10-05,obv_top_divergence,TOP
2010-12-03,obv_top_divergence,TOP
2012-02-24,obv_top_divergence,TOP
2012-03-13,obv_top_divergence,TOP
2013-02-01,obv_top_divergence,TOP
2013-02-19,obv_top_divergence,TOP
2013-03-28,obv_top_divergence,TOP
2013-10-01,obv_top_divergence,TOP
2013-10-16,obv_top_divergence,TOP
2013-12-18,obv_top_divergence,TOP
2014-01-14,obv_top_divergence,TOP
2014-03-04,obv_top_divergence,TOP
2014-08-18,obv_top_divergence,TOP
2015-02-12,obv_top_divergence,TOP
2015-04-22,obv_top_divergence,TOP
2015-05-27,obv_top_divergence,TOP
2015-06-22,obv_top_divergence,TOP
2015-07-16,obv_top_divergence,TOP
2015-12-01,obv_top_divergence,TOP
2016-06-02,obv_top_divergence,TOP
2010-05-11,volume_climax_reversal_1p5x,BOTTOM
2011-08-15,volume_climax_reversal_1p5x,BOTTOM
2015-08-28,volume_climax_reversal_1p5x,BOTTOM
2016-07-01,volume_climax_reversal_1p5x,BOTTOM
