date,indicator,warn_type
2005-01-20,dd52w_cross_6,TOP
2005-01-28,macd_wk_hist,TOP
2005-02-14,sma5_10_cross,TOP
2005-02-22,dd52w_cross_6,TOP
2005-03-11,dd52w_cross_6,TOP
2005-03-15,dd52w_cross_6,TOP
2005-03-22,close_x_sma200,TOP
2005-03-30,close_x_sma200,BOTTOM
2005-04-01,close_x_sma200,TOP
2005-04-05,close_x_sma200,BOTTOM
2005-04-11,close_x_sma200,TOP
2005-04-12,close_x_sma200,BOTTOM
2005-04-13,close_x_sma200,TOP
2005-04-14,rsi14_bot_div,BOTTOM
2005-04-14,sma200_slope_neg,TOP
2005-04-26,sma5_10_cross,BOTTOM
2005-04-28,rsi14_bot_div,BOTTOM
2005-04-29,wk10_40_cross,TOP
2005-05-05,sma5_10_cross,BOTTOM
2005-05-17,close_x_sma200,BOTTOM
2005-06-09,sma5_10_cross,TOP
2005-06-27,dd52w_cross_6,TOP
2005-07-08,rsi14_top_div,TOP
2005-07-08,wk10_40_cross,BOTTOM
2005-07-11,rsi14_top_div,TOP
2005-08-09,sma5_10_cross,TOP
2005-09-16,sma5_10_cross,TOP
2005-09-23,macd_wk_hist,TOP
2005-10-06,dd52w_cross_6,TOP
2005-10-07,sma200_slope_neg,TOP
2005-10-10,dd52w_cross_6,TOP
2005-10-11,close_x_sma200,TOP
2005-10-19,close_x_sma200,BOTTOM
2005-10-20,close_x_sma200,TOP
2005-10-20,dd52w_cross_6,TOP
2005-10-20,sma5_10_cross,BOTTOM
2005-10-21,close_x_sma200,BOTTOM
2005-10-27,close_x_sma200,TOP
2005-10-27,dd52w_cross_6,TOP
2005-10-28,close_x_sma200,BOTTOM
2005-11-17,rsi14_top_div,TOP
2005-11-18,rsi14_top_div,TOP
2005-12-13,sma5_10_cross,TOP
2005-12-19,sma5_10_cross,TOP
2006-01-05,rsi14_top_div,TOP
2006-01-06,rsi14_top_div,TOP
2006-01-19,sma5_10_cross,TOP
2006-02-06,sma5_10_cross,TOP
2006-02-10,macd_wk_hist,TOP
2006-03-08,sma5_10_cross,TOP
2006-03-27,sma5_10_cross,TOP
2006-03-29,rsi14_top_div,TOP
2006-03-30,rsi14_top_div,TOP
2006-04-04,rsi14_top_div,TOP
2006-04-05,rsi14_top_div,TOP
2006-04-06,rsi14_top_div,TOP
2006-04-12,sma5_10_cross,TOP
2006-04-27,sma5_10_cross,TOP
2006-04-28,macd_wk_hist,TOP
2006-05-16,close_x_sma200,TOP
2006-05-17,dd52w_cross_6,TOP
2006-05-31,sma5_10_cross,BOTTOM
2006-06-07,rsi14_bot_div,BOTTOM
2006-06-08,rsi14_bot_div,BOTTOM
2006-06-09,rsi14_bot_div,BOTTOM
2006-06-12,rsi14_bot_div,BOTTOM
2006-06-21,sma5_10_cross,BOTTOM
2006-06-23,sma200_slope_neg,TOP
2006-06-23,wk10_40_cross,TOP
2006-06-29,sma5_10_cross,BOTTOM
2006-07-13,rsi14_bot_div,BOTTOM
2006-07-14,rsi14_bot_div,BOTTOM
2006-07-21,rsi14_bot_div,BOTTOM
2006-07-25,sma5_10_cross,BOTTOM
2006-08-16,sma5_10_cross,BOTTOM
2006-08-28,sma200_slope_neg,TOP
2006-08-30,sma5_10_cross,BOTTOM
2006-09-01,macd_wk_hist,BOTTOM
2006-09-13,close_x_sma200,BOTTOM
2006-09-13,sma5_10_cross,BOTTOM
2006-09-19,close_x_sma200,TOP
2006-09-19,dd52w_cross_6,TOP
2006-09-20,close_x_sma200,BOTTOM
2006-09-22,close_x_sma200,TOP
2006-09-22,dd52w_cross_6,TOP
2006-09-25,close_x_sma200,BOTTOM
2006-10-04,rsi14_top_div,TOP
2006-10-20,wk10_40_cross,BOTTOM
2006-10-25,sma5_10_cross,TOP
2006-11-02,sma5_10_cross,TOP
2006-11-08,rsi14_top_div,TOP
2006-11-10,rsi14_top_div,TOP
2006-11-13,rsi14_top_div,TOP
2006-11-28,sma5_10_cross,TOP
2006-12-13,sma5_10_cross,TOP
2006-12-21,sma5_10_cross,TOP
2007-01-11,rsi14_top_div,TOP
2007-01-12,rsi14_top_div,TOP
2007-01-22,sma5_10_cross,TOP
2007-02-09,macd_wk_hist,TOP
2007-02-13,sma5_10_cross,TOP
2007-02-20,rsi14_top_div,TOP
2007-02-21,rsi14_top_div,TOP
2007-02-28,sma5_10_cross,TOP
2007-03-02,dd52w_cross_6,TOP
2007-03-02,macd_wk_hist,TOP
2007-03-13,dd52w_cross_6,TOP
2007-03-16,dd52w_cross_6,TOP
2007-03-30,sma5_10_cross,TOP
2007-05-14,sma5_10_cross,TOP
2007-05-21,rsi14_top_div,TOP
2007-05-22,rsi14_top_div,TOP
2007-05-30,rsi14_top_div,TOP
2007-05-31,rsi14_top_div,TOP
2007-06-01,rsi14_top_div,TOP
2007-06-04,rsi14_top_div,TOP
2007-06-08,sma5_10_cross,TOP
2007-06-15,rsi14_top_div,TOP
2007-06-19,rsi14_top_div,TOP
2007-06-26,sma5_10_cross,TOP
2007-07-24,sma5_10_cross,TOP
2007-07-27,macd_wk_hist,TOP
2007-07-31,dd52w_cross_6,TOP
2007-08-03,dd52w_cross_6,TOP
2007-08-09,dd52w_cross_6,TOP
2007-08-15,close_x_sma200,TOP
2007-08-17,close_x_sma200,BOTTOM
2007-08-28,close_x_sma200,TOP
2007-08-28,dd52w_cross_6,TOP
2007-08-29,close_x_sma200,BOTTOM
2007-09-12,sma5_10_cross,TOP
2007-10-17,sma5_10_cross,TOP
2007-10-29,rsi14_top_div,TOP
2007-10-31,rsi14_top_div,TOP
2007-11-07,sma5_10_cross,TOP
2007-11-09,dd52w_cross_6,TOP
2007-11-16,macd_wk_hist,TOP
2007-11-21,close_x_sma200,TOP
2007-11-23,close_x_sma200,BOTTOM
2007-11-26,close_x_sma200,TOP
2007-11-28,close_x_sma200,BOTTOM
2007-12-11,dd52w_cross_6,TOP
2007-12-17,close_x_sma200,TOP
2007-12-20,close_x_sma200,BOTTOM
2007-12-27,dd52w_cross_6,TOP
2008-01-02,close_x_sma200,TOP
2008-01-11,wk10_40_cross,TOP
2008-01-29,sma200_slope_neg,TOP
2008-01-30,sma5_10_cross,BOTTOM
2008-02-06,rsi14_bot_div,BOTTOM
2008-02-15,sma5_10_cross,BOTTOM
2008-02-28,sma5_10_cross,BOTTOM
2008-02-29,rsi14_bot_div,BOTTOM
2008-03-03,rsi14_bot_div,BOTTOM
2008-03-17,sma5_10_cross,BOTTOM
2008-03-24,sma5_10_cross,BOTTOM
