ym,core_cpi,cpi_yoy
1957-01,28.5,
1957-02,28.6,
1957-03,28.7,
1957-04,28.8,
1957-05,28.8,
1957-06,28.9,
1957-07,29.0,
1957-08,29.0,
1957-09,29.1,
1957-10,29.2,
1957-11,29.3,
1957-12,29.3,
1958-01,29.3,2.807017543859658
1958-02,29.4,2.7972027972027913
1958-03,29.5,2.7874564459930307
1958-04,29.5,2.430555555555558
1958-05,29.5,2.430555555555558
1958-06,29.6,2.422145328719738
1958-07,29.6,2.0689655172413834
1958-08,29.6,2.0689655172413834
1958-09,29.7,2.0618556701030855
1958-10,29.7,1.7123287671232834
1958-11,29.8,1.7064846416382284
1958-12,29.9,2.0477815699658564
1959-01,29.9,2.0477815699658564
1959-02,29.9,1.7006802721088343
1959-03,30.0,1.6949152542372836
1959-04,30.0,1.6949152542372836
1959-05,30.1,2.033898305084758
1959-06,30.2,2.0270270270270174
1959-07,30.2,2.0270270270270174
1959-08,30.2,2.0270270270270174
1959-09,30.3,2.020202020202033
1959-10,30.4,2.3569023569023573
1959-11,30.4,2.0134228187919323
1959-12,30.5,2.006688963210701
1960-01,30.5,2.006688963210701
1960-02,30.6,2.34113712374584
1960-03,30.6,2.0000000000000018
1960-04,30.6,2.0000000000000018
1960-05,30.6,1.661129568106312
1960-06,30.7,1.655629139072845
1960-07,30.6,1.324503311258285
1960-08,30.6,1.324503311258285
1960-09,30.6,0.990099009900991
1960-10,30.8,1.3157894736842257
1960-11,30.8,1.3157894736842257
1960-12,30.7,0.6557377049180246
1961-01,30.8,0.9836065573770592
1961-02,30.8,0.6535947712418277
1961-03,30.9,0.9803921568627416
1961-04,30.9,0.9803921568627416
1961-05,30.9,0.9803921568627416
1961-06,31.0,0.9771986970684043
1961-07,31.0,1.3071895424836555
1961-08,31.1,1.6339869281045694
1961-09,31.1,1.6339869281045694
1961-10,31.1,0.9740259740259827
1961-11,31.2,1.298701298701288
1961-12,31.2,1.6286644951140072
1962-01,31.2,1.298701298701288
1962-02,31.2,1.298701298701288
1962-03,31.3,1.2944983818770295
1962-04,31.3,1.2944983818770295
1962-05,31.4,1.6181229773462702
1962-06,31.4,1.2903225806451646
1962-07,31.4,1.2903225806451646
1962-08,31.5,1.2861736334405016
1962-09,31.5,1.2861736334405016
1962-10,31.5,1.2861736334405016
1962-11,31.5,0.9615384615384581
1962-12,31.6,1.2820512820512997
1963-01,31.5,0.9615384615384581
1963-02,31.6,1.2820512820512997
1963-03,31.7,1.2779552715654896
1963-04,31.7,1.2779552715654896
1963-05,31.7,0.9554140127388644
1963-06,31.8,1.273885350318471
1963-07,31.8,1.273885350318471
1963-08,31.9,1.2698412698412653
1963-09,31.9,1.2698412698412653
1963-10,32.0,1.5873015873015817
1963-11,32.0,1.5873015873015817
1963-12,32.1,1.5822784810126667
1964-01,32.2,2.2222222222222365
1964-02,32.2,1.8987341772152
1964-03,32.2,1.5772870662460692
1964-04,32.2,1.5772870662460692
1964-05,32.2,1.5772870662460692
1964-06,32.3,1.5723270440251458
1964-07,32.3,1.5723270440251458
1964-08,32.3,1.2539184952978122
1964-09,32.3,1.2539184952978122
1964-10,32.4,1.2499999999999956
1964-11,32.5,1.5625
1964-12,32.5,1.2461059190031154
1965-01,32.6,1.2422360248447228
1965-02,32.6,1.2422360248447228
1965-03,32.6,1.2422360248447228
1965-04,32.7,1.552795031055898
1965-05,32.7,1.552795031055898
1965-06,32.7,1.2383900928792713
1965-07,32.7,1.2383900928792713
1965-08,32.7,1.2383900928792713
1965-09,32.8,1.5479876160990669
1965-10,32.8,1.2345679012345734
1965-11,32.9,1.2307692307692353
1965-12,33.0,1.538461538461533
1966-01,33.0,1.2269938650306678
1966-02,33.1,1.5337423312883347
1966-03,33.1,1.5337423312883347
1966-04,33.3,1.83486238532109
1966-05,33.4,2.1406727828745975
1966-06,33.5,2.4464831804281273
1966-07,33.6,2.752293577981657
1966-08,33.7,3.0581039755351647
1966-09,33.8,3.0487804878048808
1966-10,34.0,3.658536585365857
1966-11,34.0,3.3434650455927084
1966-12,34.1,3.3333333333333437
1967-01,34.2,3.6363636363636376
1967-02,34.2,3.3232628398791597
1967-03,34.3,3.6253776435045237
1967-04,34.4,3.3033033033033066
1967-05,34.5,3.293413173652704
1967-06,34.6,3.2835820895522394
1967-07,34.7,3.2738095238095344
1967-08,34.9,3.5608308605341144
1967-09,35.0,3.550295857988184
1967-10,35.1,3.2352941176470695
1967-11,35.2,3.529411764705892
1967-12,35.4,3.8123167155425186
1968-01,35.5,3.801169590643272
1968-02,35.7,4.385964912280693
1968-03,35.8,4.37317784256559
1968-04,35.9,4.3604651162790775
1968-05,36.0,4.347826086956519
1968-06,36.2,4.6242774566473965
1968-07,36.4,4.899135446685876
1968-08,36.5,4.5845272206303855
1968-09,36.7,4.857142857142871
1968-10,36.9,5.12820512820511
1968-11,37.1,5.397727272727271
1968-12,37.2,5.084745762711873
1969-01,37.3,5.070422535211261
1969-02,37.6,5.3221288515406195
1969-03,37.8,5.586592178770955
1969-04,38.1,6.1281337047353945
1969-05,38.1,5.833333333333335
