date,indicator,warn_type
2023-11-07,hyoas_peak_falloff,BOTTOM
2023-11-10,breadth_top_divergence,TOP
2023-11-16,hyoas_peak_falloff,BOTTOM
2024-02-02,breadth_top_divergence,TOP
2024-04-17,vix_hyoas_double,TOP
2024-04-19,vix_hyoas_double,TOP
2024-08-02,score_break70,TOP
2024-08-02,vix_hyoas_double,TOP
2024-08-12,vix_hyoas_double,TOP
2024-09-03,score_break70,TOP
2024-09-06,score_break70,TOP
2024-09-20,breadth_break_first,TOP
2024-09-30,breadth_break_first,TOP
2024-10-16,breadth_break_first,TOP
2024-10-29,breadth_top_divergence,TOP
2024-10-30,breadth_break_first,TOP
2024-11-15,breadth_break_first,TOP
2024-12-16,breadth_break_first,TOP
2024-12-18,score_break70,TOP
2025-01-03,breadth_break_first,TOP
2025-01-15,breadth_break_first,TOP
2025-01-27,breadth_break_first,TOP
2025-02-06,breadth_break_first,TOP
2025-02-14,breadth_top_divergence,TOP
2025-02-24,breadth_break_first,TOP
2025-02-27,score_break70,TOP
2025-03-03,score_break70,TOP
2025-03-07,vix_hyoas_double,TOP
2025-03-20,score_recover45,BOTTOM
2025-03-24,breadth_washout_recovery,BOTTOM
2025-04-03,vix_hyoas_double,TOP
2025-04-14,hyoas_peak_falloff,BOTTOM
2025-04-29,breadth_washout_recovery,BOTTOM
2025-04-29,score_recover45,BOTTOM
2025-05-01,score_recover45,BOTTOM
2025-06-02,breadth_top_divergence,TOP
2025-06-13,breadth_break_first,TOP
2025-06-20,breadth_break_first,TOP
2025-06-24,breadth_top_divergence,TOP
2025-07-15,breadth_top_divergence,TOP
2025-07-31,breadth_break_first,TOP
2025-08-01,vix_hyoas_double,TOP
2025-08-07,breadth_top_divergence,TOP
2025-09-10,breadth_break_first,TOP
2025-09-10,breadth_top_divergence,TOP
2025-09-15,breadth_break_first,TOP
2025-09-18,breadth_break_first,TOP
2025-09-23,breadth_break_first,TOP
2025-09-30,breadth_break_first,TOP
2025-10-03,breadth_break_first,TOP
2025-10-06,breadth_top_divergence,TOP
2025-10-10,vix_hyoas_double,TOP
2025-10-16,score_break70,TOP
2025-10-16,vix_hyoas_double,TOP
2025-10-29,breadth_break_first,TOP
2025-11-20,score_break70,TOP
2025-11-21,vix_hyoas_double,TOP
2026-03-09,vix_hyoas_double,TOP
2026-03-12,vix_hyoas_double,TOP
2026-03-13,score_break70,TOP
2026-03-18,score_break70,TOP
2026-03-18,vix_hyoas_double,TOP
2026-03-20,vix_hyoas_double,TOP
2026-03-27,vix_hyoas_double,TOP
2026-05-15,score_break70,TOP
2026-05-21,score_break70,TOP
2026-06-02,breadth_top_divergence,TOP
2026-06-04,score_break70,TOP
2026-06-09,score_break70,TOP
2026-06-11,score_recover45,BOTTOM
2026-06-23,score_break70,TOP
2026-06-26,score_break70,TOP
