ym,equity,in_mkt
1976-07,0.9986,True
1976-08,1.02366486,True
1976-09,1.003089196314,True
1976-10,1.0107126742059864,True
1976-11,1.0718607909954485,True
1976-12,1.0323091278077163,True
1977-01,1.0158954126755737,True
1977-02,1.0058380480900855,True
1977-03,1.0058380480900855,False
1977-04,1.0058380480900855,False
1977-05,1.0058380480900855,False
1977-06,1.0058380480900855,False
1977-07,1.0058380480900855,False
1977-08,1.0058380480900855,False
1977-09,1.0058380480900855,False
1977-10,1.0058380480900855,False
1977-11,1.0058380480900855,False
1977-12,1.0058380480900855,False
1978-01,1.0058380480900855,False
1978-02,1.0058380480900855,False
1978-03,1.0058380480900855,False
1978-04,1.0286705717817304,True
1978-05,1.0168408602062404,True
1978-06,1.0744957369799342,True
1978-07,1.1208065032437693,True
1978-08,1.1117279705674947,True
1978-09,0.9868809194727651,True
1978-10,1.0205335588267865,True
1978-11,1.0205335588267865,False
1978-12,1.0205335588267865,False
1979-01,1.0205335588267865,False
1979-02,1.0205335588267865,False
1979-03,1.0205335588267865,False
1979-04,1.0205335588267865,False
1979-05,1.0205335588267865,False
1979-06,1.0205335588267865,False
1979-07,1.0205335588267865,False
1979-08,1.0205335588267865,False
1979-09,1.0205335588267865,False
1979-10,1.0205335588267865,False
1979-11,1.0205335588267865,False
1979-12,1.0205335588267865,False
1980-01,1.0205335588267865,False
1980-02,1.0205335588267865,False
1980-03,1.0205335588267865,False
1980-04,1.0205335588267865,False
1980-05,1.0205335588267865,False
1980-06,1.0205335588267865,False
1980-07,1.0205335588267865,False
1980-08,1.0205335588267865,False
1980-09,1.0205335588267865,False
1980-10,1.0205335588267865,False
1980-11,1.0205335588267865,False
1980-12,1.0205335588267865,False
1981-01,1.0205335588267865,False
1981-02,1.0205335588267865,False
1981-03,1.0205335588267865,False
1981-04,1.0205335588267865,False
1981-05,1.0205335588267865,False
1981-06,1.0205335588267865,False
1981-07,1.0205335588267865,False
1981-08,1.0205335588267865,False
1981-09,1.0205335588267865,False
1981-10,1.0205335588267865,False
1981-11,1.0205335588267865,False
1981-12,1.0205335588267865,False
1982-01,1.0205335588267865,False
1982-02,1.0205335588267865,False
1982-03,1.0205335588267865,False
1982-04,1.0205335588267865,False
1982-05,1.0205335588267865,False
1982-06,1.0205335588267865,False
1982-07,1.0205335588267865,False
1982-08,1.0205335588267865,False
1982-09,1.0205335588267865,False
1982-10,1.0746218374446062,True
1982-11,1.0877322238614304,True
1982-12,1.1343959362650857,True
1983-01,1.170810045819195,True
1983-02,1.2112029923999572,True
1983-03,1.300589773239074,True
1983-04,1.316326909495267,True
1983-05,1.3655575359103898,True
1983-06,1.3200844699645737,True
1983-07,1.3235166895864816,True
1983-08,1.3456194183025758,True
1983-09,1.309556817892067,True
1983-10,1.34701014288378,True
1983-11,1.3328665363835004,True
1983-12,1.3174052845614517,True
1984-01,1.3174052845614517,False
1984-02,1.3174052845614517,False
1984-03,1.3174052845614517,False
1984-04,1.3174052845614517,False
1984-05,1.3174052845614517,False
1984-06,1.3174052845614517,False
1984-07,1.3174052845614517,False
1984-08,1.3174052845614517,False
1984-09,1.3174052845614517,False
1984-10,1.3038360101304687,True
1984-11,1.3361711431817043,True
1984-12,1.4516163299526035,True
1985-01,1.4777454238917505,True
1985-02,1.4744943839591889,True
1985-03,1.470955597437687,True
1985-04,1.555535544290354,True
1985-05,1.5838462911964384,True
1985-06,1.5819456756470027,True
1985-07,1.574510530971462,True
1985-08,1.5124748160511865,True
1985-09,1.5831073899607768,True
1985-10,1.6953497039089958,True
1985-11,1.772149045496073,True
1985-12,1.7935920489465755,True
1986-01,1.9309811998958832,True
1986-02,2.0367989696501776,True
1986-03,2.0207082577899413,True
1986-04,2.123966449763007,True
1986-05,2.1568879297343337,True
1986-06,2.0289844755010877,True
1986-07,2.1614771617513084,True
1986-08,1.9853167730685768,True
1986-09,2.0869649918496878,True
1986-10,2.119521645722543,True
1986-11,2.0605989439714563,True
1986-12,2.326210147849377,True
1987-01,2.4383334769757163,True
1987-02,2.4897823133399037,True
1987-03,2.4482029487071273,True
1987-04,2.460199143155792,True
1987-05,2.5689399452832773,True
1987-06,2.6796612569249865,True
1987-07,2.7865797410762934,True
1987-08,2.7269469346172612,True
1987-09,2.1095661486199133,True
1987-10,1.9530363403923157,True
1987-11,1.9530363403923157,False
1987-12,1.9530363403923157,False
1988-01,1.9530363403923157,False
1988-02,1.9530363403923157,False
1988-03,1.9530363403923157,False
1988-04,1.9530363403923157,False
1988-05,1.9530363403923157,False
1988-06,1.9530363403923157,False
1988-07,1.9530363403923157,False
1988-08,1.9530363403923157,False
1988-09,1.9530363403923157,False
1988-10,1.9194441153375679,True
1988-11,1.9601363305827244,True
1988-12,2.090485396566476,True
1989-01,2.0562014360627856,True
1989-02,2.0562014360627856,False
1989-03,2.159011507865925,True
1989-04,2.2483945842915745,True
1989-05,2.2340048589521087,True
1989-06,2.410491242809325,True
1989-07,2.463039951902568,True
1989-08,2.4603306079554756,True
1989-09,2.3867667227776073,True
1989-10,2.4278191104093825,True
1989-11,2.4707915086636287,True
1989-12,2.2909178868329167,True
1990-01,2.3294053073317094,True
1990-02,2.3869416184228025,True
1990-03,2.3232102772109138,True
1990-04,2.534622412437107,True
1990-05,2.522963149339896,True
1990-06,2.4921829989179494,True
1990-07,2.255674832320636,True
1990-08,2.131161581576537,True
1990-09,2.131161581576537,False
1990-10,2.131161581576537,False
1990-11,2.131161581576537,False
1990-12,2.131161581576537,False
1991-01,2.2946216748834574,True
1991-02,2.365525484637356,True
1991-03,2.371439298348949,True
1991-04,2.469142597440926,True
1991-05,2.357537352036596,True
1991-06,2.469048868787927,True
1991-07,2.5376884273402314,True
1991-08,2.509012548111287,True
1991-09,2.5519166626839898,True
1991-10,2.454943829501998,True
1991-11,2.730388527172122,True
1991-12,2.723562555854192,True
1992-01,2.7608753628693945,True
1992-02,2.6968230544508245,True
1992-03,2.734308894907691,True
1992-04,2.7501678864981556,True
1992-05,2.694614495190893,True
1992-06,2.804554766594681,True
1992-07,2.745098205542874,True
1992-08,2.7849021295232452,True
1992-09,2.8197134061422857,True
1992-10,2.94265291065009,True
1992-11,2.9959149283328563,True
1992-12,3.0306675415015176,True
1993-01,3.040971811142623,True
1993-02,3.11851659232676,True
1993-03,3.0308862760823785,True
1993-04,3.12514683926854,True
1993-05,3.1426476615684438,True
1993-06,3.1395050139068754,True
1993-07,3.263829412457587,True
1993-08,3.268398773635028,True
1993-09,3.3216736736452788,True
1993-10,3.2671982253974967,True
1993-11,3.3286215520349693,True
1993-12,3.43247454445846,True
1994-01,3.352154640118133,True
1994-02,3.200972465848805,True
1994-03,3.231381704274369,True
1994-04,3.2601410014424106,True
1994-05,3.171465166203177,True
1994-06,3.269780586355475,True
1994-07,3.4129969760378454,True
1994-08,3.3467848347027114,True
1994-09,3.404349533859598,True
1994-10,3.279409905966951,True
1994-11,3.322042234744521,True
1994-12,3.3957915723558494,True
1995-01,3.53264197272179,True
1995-02,3.6262569849989177,True
1995-03,3.7187265381163903,True
1995-04,3.846650731027594,True
1995-05,3.969358889347374,True
1995-06,4.13488115503316,True
1995-07,4.177056942814498,True
1995-08,4.334949695252886,True
1995-09,4.289432723452731,True
1995-10,4.4773098767399615,True
1995-11,4.545364986866409,True
1995-12,4.667635305013115,True
1996-01,4.747918632259341,True
1996-02,4.801095320940647,True
1996-03,4.92208292302835,True
1996-04,5.058916828288539,True
1996-05,5.021480843759204,True
1996-06,4.744295101183696,True
1996-07,4.895163685401338,True
1996-08,5.16195010625571,True
1996-09,5.228023067615783,True
1996-10,5.576209403918994,True
1996-11,5.5070644073103985,True
1996-12,5.806098004627353,True
1997-01,5.800291906622727,True
1997-02,5.534058508108744,True
1997-03,5.781430923421205,True
1997-04,6.199428379184558,True
1997-05,6.476542827734107,True
1997-06,6.979122551166273,True
1997-07,6.718103367752654,True
1997-08,7.107081552745534,True
1997-09,6.866862196262734,True
1997-10,7.098275452276789,True
1997-11,7.226044410417771,True
1997-12,7.267955467998194,True
1998-01,7.8079645592704585,True
1998-02,8.210074734072888,True
1998-03,8.305311600988134,True
1998-04,8.083559781241751,True
1998-05,8.37375957738833,True
1998-06,8.20126013009413,True
1998-07,6.9177629197344,True
1998-08,7.375027048728844,True
1998-09,7.375027048728844,False
1998-10,7.847766282552362,True
1998-11,8.361010197431286,True
1998-12,8.68290909003239,True
1999-01,8.359036580974182,True
1999-02,8.68336720031598,True
1999-03,9.09148545873083,True
1999-04,8.898745967005736,True
1999-05,9.35881113349993,True
1999-06,9.069623869474782,True
1999-07,8.979834593166983,True
1999-08,8.762522596012342,True
1999-09,9.333839069272347,True
1999-10,9.681991266556206,True
