ndx,hyoas,vix,breadth,ym,ndx_ret
14715.24,403.0,17.52,0.7755,2023-09,-0.05069521007259503
14409.78,442.0,18.14,0.6939,2023-10,-0.020758071224118657
15947.87,384.0,12.92,0.8776,2023-11,0.10673931177297646
16825.93,334.0,12.45,0.9184,2023-12,0.055058136290300874
17137.24,359.0,14.35,0.8776,2024-01,0.018501800494831633
18043.85,329.0,13.4,0.8776,2024-02,0.05290291785608403
18254.69,312.0,13.01,0.8776,2024-03,0.011684867697304036
17440.69,318.0,15.65,0.7551,2024-04,-0.044591280377809794
18536.65,320.0,12.92,0.7959,2024-05,0.06283925693306869
19682.87,318.0,12.44,0.7959,2024-06,0.06183533702152211
19362.43,325.0,16.36,0.8776,2024-07,-0.016280146137224838
19574.64,313.0,15.0,0.7959,2024-08,0.010959884683895416
20060.69,303.0,16.73,0.7551,2024-09,0.024830597139972932
19890.42,288.0,23.16,0.6122,2024-10,-0.008487743941011039
20930.37,272.0,13.51,0.7551,2024-11,0.05228396383786782
21012.17,292.0,17.35,0.5306,2024-12,0.003908196558398025
21478.05,268.0,16.43,0.5918,2025-01,0.022171912753418566
20884.41,287.0,19.63,0.5306,2025-02,-0.02763938067003291
19278.45,355.0,22.28,0.3061,2025-03,-0.07689755181017799
19571.02,394.0,24.7,0.3673,2025-04,0.0151760125943734
21340.99,331.0,18.57,0.5918,2025-05,0.0904383113399303
22679.01,296.0,16.73,0.7959,2025-06,0.06269718508841415
23218.12,286.0,16.72,0.5714,2025-07,0.02377131982392533
23415.42,282.0,15.36,0.7755,2025-08,0.00849767336890328
24679.99,280.0,16.28,0.6531,2025-09,0.0540058645115058
25858.13,294.0,17.44,0.6122,2025-10,0.04773664819151069
25434.89,295.0,16.35,0.5918,2025-11,-0.016367772920934387
25249.85,281.0,14.95,0.6327,2025-12,-0.007275046206215219
25552.39,280.0,17.44,0.6735,2026-01,0.011981853357544647
24960.04,310.0,19.86,0.6327,2026-02,-0.0231817845610528
23740.19,328.0,25.25,0.5306,2026-03,-0.048872117192119924
27452.12,283.0,16.89,0.6735,2026-04,0.1563563728849684
30333.18,272.0,15.32,0.6735,2026-05,0.10494854313619495
30276.35,275.0,16.45,0.6122,2026-06,-0.0018735259540872962
29825.11,270.0,15.03,0.6735,2026-07,-0.014904042264011319
