entry,exit,ret
1976-07,1976-10,0.0030891963140000644
1976-12,1977-02,-0.05221328999999997
1978-04,1978-06,0.010938949999999892
1978-07,1978-10,-0.08154040494700021
1982-10,1983-03,0.18683308542285015
1983-07,1983-12,0.00968276402741819
1984-10,1985-09,0.14807101032289482
1985-10,1986-09,0.2540632339021329
1986-10,1986-12,-0.012633680000000092
1987-01,1987-05,0.057599695122252825
1987-06,1987-10,-0.17881842567273754
1988-10,1989-01,0.07037711144000003
1989-03,1990-01,0.11415051397861409
1990-02,1990-04,-0.0026594900000000976
1990-05,1990-08,-0.11005488578799982
1991-01,1994-03,0.5019848769424939
1994-04,1994-05,0.008899999999999908
1994-08,1994-09,-0.019399999999999862
1994-10,1994-11,-0.036699999999999955
1995-01,1998-08,1.037157691317069
1998-10,2000-05,0.33464005120555784
2000-06,2000-07,-0.020299999999999985
2000-08,2000-09,-0.0494
2003-05,2005-10,0.34993126956342113
2005-11,2006-07,0.028603869031123885
2006-09,2007-07,0.11360446935454727
2007-09,2008-01,-0.09012797464371991
2009-08,2010-06,0.03711543107678539
2010-07,2010-08,-0.047599999999999865
2010-09,2011-08,0.08514283568473724
2012-02,2015-01,0.5513739861143163
2015-02,2015-08,-0.05286044803217882
2016-06,2018-11,0.40448217706489786
2019-01,2019-05,0.01773603047224559
2019-06,2020-02,0.004235559664962141
2020-06,2021-11,0.4730880014450267
2021-12,2022-01,-0.05258508910699977
2023-08,2023-09,-0.04871929116215501
2023-11,2025-03,0.22856736284425772
2025-06,2026-07(open),0.31389276233919805
