entry,exit,ret
1976-07,1977-03,0.005838048090085479
1978-04,1978-11,0.014610215595448395
1982-10,1984-01,0.29089854338151433
1984-10,1987-11,0.48248710042366194
1988-10,1989-02,0.0528229268123841
1989-03,1990-09,0.03645564301194382
1991-01,1998-09,2.460566815995779
1998-10,2000-10,0.3730244947934893
2003-05,2008-02,0.5594999124181006
2009-08,2011-09,0.16039252420491912
2012-02,2015-09,0.5114091509173708
2016-06,2020-03,0.4480366156810993
2020-06,2022-02,0.4108164074973639
2023-08,2023-10,-0.06962814409250029
2023-11,2025-04,0.2191996146941637
2025-06,2026-07(open),0.3138927623391976
